,Address,No. of BHK,Price,Summary
0,"Gaur Yamuna City, Yamuna Expressway",2 BHK Flat/Apartment,₹ 32.3 Lac,|carpet area 900 sqft|status  Possession by Sep '18| floor 25 out of 25 floors|transaction New Property|furnishing Semi-Furnished|society  Gaur Yamuna City| car parking 1 Covered|bathroom 2  
1,"Gaur Yamuna City,Tech Zone, Gautam Budh Nagar, Yamuna Expressway",3 BHK Villa,₹ 1.34 Cr,"|carpet area 136 sqyrd|transaction New Property|ownership Leasehold|overlooking Garden/Park, Pool|society  Gaur Yamuna City| car parking 1 Covered|bathroom 4|balcony 3|dimensions  17 X 10 Sqyrd|furnishing Semi-Furnished  "
2,"Arihant Arden, Greater Noida West",3 BHK Flat/Apartment,₹ 52.3 Lac,"|carpet area 1275 sqft|status Ready to Move|floor 16 out of 18 floors|transaction New Property|furnishing Semi-Furnished|facing North - East|overlooking Garden/Park, Pool, Main Road|society  Arihant Arden| car parking 1 Covered, 1 Open|bathroom 2|balcony 4|ownership Leasehold  "
3,"Gaur Yamuna City, Yamuna Expressway",3 BHK Flat/Apartment,₹ 43.2 Lac,|carpet area 1200 sqft|status  Possession by Sep '18| floor 25 out of 25 floors|transaction New Property|furnishing Semi-Furnished|society  Gaur Yamuna City| car parking 1 Covered|bathroom 3|ownership Leasehold  
4,"Amaatra Homes, Greater Noida West",2 BHK Flat/Apartment,₹ 31 Lac,|carpet area 549 sqft|status  Possession by Aug '18| floor 16 out of 24 floors|transaction New Property|furnishing Unfurnished|society  Amaatra Homes| car parking 1 Covered|bathroom 2  
5,"Gaur Yamuna City,Tech Zone, Gautam Budh Nagar, Yamuna Expressway",3 BHK Villa,₹ 74.5 Lac,|carpet area 98 sqyrd|status  Possession by Dec '20| transaction New Property|ownership Leasehold|society  Gaur Yamuna City| facing North - East|bathroom 2|dimensions  30 X 3.47 Sqyrd|furnishing Furnished  
6,"Gaur Yamuna City, Yamuna Expressway",2 BHK Flat/Apartment,₹ 36.1 Lac,|super area 1270 sqft|status Ready to Move|transaction New Property|furnishing Semi-Furnished|society  Gaur Yamuna City| bathroom 2  
7,"ACE City, Greater Noida West",3 BHK Flat/Apartment,₹ 52.5 Lac,"|carpet area 1430 sqft|status Ready to Move|floor 5 out of 22 floors|transaction New Property|furnishing Semi-Furnished|facing North - West|overlooking Garden/Park, Pool, Main Road|society  ACE City| car parking 1 Covered, 1 Open|bathroom 2|balcony 3|ownership Leasehold  "
8,"Designarch eHomes, Surajpur",3 BHK Flat/Apartment,₹ 49.7 Lac,"|super area 1425 sqft|status Ready to Move|floor 1 out of 14 floors|transaction New Property|furnishing Semi-Furnished|facing North - East|overlooking Garden/Park, Pool, Main Road|society  Designarch eHomes| car parking 1 Covered|bathroom 2|balcony 2|ownership Leasehold  "
9,"Gaur Yamuna City, Yamuna Expressway",2 BHK Flat/Apartment,₹ 28.5 Lac,|super area 1000 sqft|status Ready to Move|transaction New Property|furnishing Unfurnished|society  Gaur Yamuna City| bathroom 2  
10,"The Villa Royale,Zeta 1",4 BHK Villa,₹ 1.21 Cr,|super area 3008 sqft|status Ready to Move|transaction New Property|society  The Villa Royale| car parking 1 Open|bathroom 4|furnishing Semi-Furnished  
11,"ATS Happy Trails, Greater Noida West",3 BHK Flat/Apartment,₹ 58.5 Lac,"|carpet area 1400 sqft|status  Possession by Oct '21| floor Ground out of 27 floors|transaction New Property|furnishing Semi-Furnished|facing East|overlooking Pool, Garden/Park, Main Road|society  ATS Happy Trails| car parking 1 Covered|bathroom 3|ownership Leasehold  "
12,"CRC Sublimis, Greater Noida West",2 BHK Flat/Apartment,₹ 35.6 Lac,|super area 1170 sqft|status  Possession by Mar '24| floor 5 out of 22 floors|transaction New Property|furnishing Semi-Furnished|society  CRC Sublimis| car parking 1 Covered|bathroom 2  
13,"Nirala Aspire, Greater Noida West",2 BHK Flat/Apartment,₹ 40.3 Lac,"|carpet area 1050 sqft|status  Possession by Jul '18| floor 2 out of 20 floors|transaction New Property|furnishing Unfurnished|facing North - East|overlooking Garden/Park, Pool, Main Road|society  Nirala Aspire| car parking 1 Covered, 1 Open|bathroom 2|balcony 2|ownership Leasehold  "
14,"Shri Radha Aqua Gardens, Greater Noida West",2 BHK Flat/Apartment,₹ 35.5 Lac,"|super area 1050 sqft|status  Possession by Dec '18| floor 10 out of 24 floors|transaction New Property|furnishing Unfurnished|facing North - East|overlooking Garden/Park, Pool|society  Shri Radha Aqua Gardens| bathroom 2|balcony 4|ownership Leasehold  "
15,"Vidhi Homes, Greater Noida West",3 BHK Flat/Apartment,₹ 26 Lac,|carpet area 1100 sqft|status  Possession by Jul '18| floor 3 out of 5 floors|transaction New Property|furnishing Semi-Furnished|society  Vidhi Homes| car parking 1 Covered|bathroom 2  
16,"SKA Greenarch, Greater Noida West",3 BHK Flat/Apartment,₹ 35.9 Lac,|super area 1220 sqft|status  Possession by Mar '20| floor 8 out of 30 floors|transaction New Property|furnishing Unfurnished|facing North|overlooking Garden/Park|society  SKA Greenarch| bathroom 2|balcony 3|ownership Leasehold  
17,"Oxford Square, Greater Noida West",3 BHK Flat/Apartment,₹ 82.3 Lac,|carpet area 1121 sqft|status Ready to Move|floor Ground out of 3 floors|transaction Resale|furnishing Semi-Furnished|facing South - East|overlooking Main Road|society  Oxford Square| car parking 1 Covered|bathroom 2|balcony 2|ownership Leasehold  
